표준버스정류장ID,버스정류장ARS번호,역명
102000094,03188,용산구청.이태원시장
102000095,03189,용산구청.이태원시장
102000096,03190,이태원역1번출구.해밀턴호텔
102000097,03191,이태원역4번출구.해밀턴호텔
102000098,03192,이태원119안전센터
102000099,03193,이태원119안전센터
102000100,03194,한남동새마을금고
102000101,03195,한남동주민센터
102000102,03196,한강진역.블루스퀘어
102000103,03197,한강진역.블루스퀘어
102000104,03198,서울역
102000105,03199,후암3거리
102000106,03200,후암시장
102000107,03201,후암시장
102000108,03202,용산중고
102000109,03203,용산중고
102000110,03204,후암동종점
102000111,03205,용산중고
102000112,03206,남영동주민센터
102000113,03207,남영동주민센터
102000114,03208,남영우체국
102000115,03209,남영우체국
102000116,03210,한남시범아파트
102000117,03211,한남시범아파트
102000118,03212,한남동
102000119,03213,한남동
102000120,03214,이촌동동부센트레빌
102000121,03215,이촌동두산위브트레지움.한강대우아파트
102000122,03216,이촌1동충신교회앞
102000123,03217,이촌동한가람아파트.이촌역
102000124,03218,이촌동한강맨션.이촌역
102000125,03219,신용산초등학교
102000126,03220,신용산초등학교
102000127,03221,이촌동강촌아파트
102000128,03222,이촌동점보아파트
102000129,03223,이촌동현대아파트
102000130,03224,금강병원.반도아파트
102000131,03225,서빙고신동아아파트
102000132,03226,서빙고신동아아파트
102000133,03227,만리동고개
102000134,03228,손기정체육공원
102000135,03229,숙대입구역
102000136,03230,남영역
102000137,03231,숙명여대도서관앞
102000138,03232,숙명여대도서관앞
102000139,03233,숙명여대정문
102000140,03234,숙명여대정문
102000141,03235,숙명여대후문.이봉창활동터
102000142,03236,효창공원후문
102000143,03237,한겨레신문사입구
102000144,03238,대한노인회
102000145,03239,효창운동장.효창동주민센터
102000146,03240,국민은행효창동지점
102000147,03241,서울금양초등학교.국민은행효창동지점
102000148,03242,효창공원역
102000149,03243,도원삼성래미안아파트
102000150,03244,도원삼성래미안아파트
102000151,03245,중앙하이츠빌라앞
102000152,03246,중앙하이츠빌라앞
102000153,03247,용문시장
102000154,03248,용문시장
102000155,03249,용산전자상가입구
102000156,03250,용산전자상가입구
102000157,03251,신용산지하차도
102000158,03252,신용산지하차도
102000159,03253,신용산역
102000161,03255,용산역
102000162,03256,용산푸르지오써밋
102000163,03257,용산푸르지오써밋
102000164,03258,용산역광장앞
102000165,03259,용산공고
102000166,03260,용산공고
102000167,03261,용산세무서
102000168,03262,용산세무서
102000169,03263,이촌역
102000170,03264,이촌역
102000171,03265,국립중앙박물관용산가족공원
102000172,03266,국립중앙박물관용산가족공원
102000173,03267,서빙고역교차로
102000174,03268,서빙고초등학교
102000175,03269,한강중학교
102000176,03270,금호베스트빌앞
102000178,03272,서빙고동
102000179,03273,서빙고동주민센터
102000180,03274,동빙고동
102000181,03275,동빙고동
102000182,03276,보광신동아아파트삼성리버빌아파트
102000183,03277,보광동신동아아파트
102000184,03278,보광동주민센터
102000185,03279,기업은행보광동지점
102000186,03280,기업은행보광동지점
102000187,03281,한국폴리텍1대학
102000188,03282,한국폴리텍1대학
102000189,03283,이태원역.보광동입구
102000190,03284,이태원역.보광동입구
102000191,03285,한남역.용산노인종합복지관
102000192,03286,한남역.용산노인종합복지관
102000193,03287,이촌119안전센터.성촌공원
102000194,03288,성촌공원.포르쉐센터용산
102000195,03289,성촌공원.포르쉐센터용산
102000196,03290,이촌2동주민센터
102000197,03291,이촌2동주민센터
102000198,03292,이촌2동대림아파트.새남터성지
102000199,03293,이촌2동대림아파트.새남터성지
102000200,03294,서부이촌동입구
102000201,03295,이촌2동강변아파트
102000202,03296,원효2동산호아파트후문
102000203,03297,청암동강변삼성아파트
102000204,03298,청암동강변삼성아파트
102000205,03299,원효2동산호아파트
102000206,03300,원효2동산호아파트
102000207,03301,원효로풍전아파트
102000208,03302,원효로풍전아파트
102000209,03303,원효풍전아파트
102000210,03304,원효2동주민센터
102000211,03305,산천동리버힐삼성아파트
102000212,03306,산천동
102000213,03307,산천동
102000214,03308,신창동세방아파트
102000215,03309,신창동세방아파트
102000216,03310,남이장군사당
102000217,03311,남이장군사당
102000218,03312,새마을금고
102000219,03313,새마을금고
102000225,03319,순천향병원입구
102000226,03320,남산서울타워
102000227,03321,청심경로당
102000228,03322,삼성테마트
102000229,03323,서빙고동금호베스트빌
102000230,03324,한남동하이페리온
102000231,03325,서빙고역1번출구
102000232,03326,문배동이안아파트앞
102000233,03327,갈월동4호선숙대입구
102000234,03328,삼각지역11번출구
102000236,03330,숙대입구
102000237,03331,원효대교북단
102000238,03332,문배동이안아파트앞
102000240,03334,순천향병원입구
102000241,03335,숙명여대입구
102000243,03336,서빙고초등학교
102000245,03338,한강대교전망카페
102000246,03339,한강대교전망카페
102000247,03340,노들섬
102000248,03341,노들섬
102000249,03342,용암초등학교.이태원2동주민센터
102000250,03343,용암초등학교.이태원2동주민센터
102000254,14336,용마루고개.브라운스톤공덕아파트
102000266,03344,효창공원삼거리.윤봉길의사등묘역
102000271,03689,청암자이아파트
102000286,03345,서울역공항철도4번출구.국립극단
102000297,03346,용산꿈나무종합타운
102000303,03538,동작대로(가상)
102000305,03570,반포대교(가상)
102000307,23849,강남대로(가상)
102000316,03347,남산도서관
102900001,03517,해방촌오거리
102900002,03516,시장
102900003,03515,신애교회
102900005,03513,남산교회입구
102900006,03510,우리들가정의원
102900007,03509,디지텍고등학교앞
102900008,03506,용암한신아파트
102900009,03502,순천향병원
102900010,03500,하얏트호텔
102900011,03565,숙대역5번출구
102900012,03564,KT용산지점
102900013,03563,보광교회
102900015,03561,신용산역
102900016,03560,리버힐빌라앞
102900017,03557,도깨비시장
102900018,03553,영동김밥
102900019,03552,문배어린이공원
102900020,03551,문배어린이공원
102900021,03549,수미용실
102900022,03546,용문동시장.새마을금고
102900023,03545,보광초등학교
102900024,03544,원효우체국
102900025,03542,보광동삼거리
102900026,03541,숙대역7번출구
102900027,03540,용산경찰서
102900028,03536,갈월동사회복지회관
102900029,03534,효창공원앞역.이봉창역사울림관
102900030,03532,용산고등학교
102900031,03525,큰빛의집앞
102900032,03523,원효사.백범김구기념관
102900033,03522,군인아파트
102900034,03521,신흥교회앞
102900035,03519,대한노인회중앙회
102900036,03598,청파초등학교
102900037,03597,배문중고등학교
102900038,03596,만리시장입구
102900039,03593,한신아파트
102900040,03592,용암경로당입구
102900041,03591,용암한신아파트
102900042,03590,우리들가정의원
102900043,03589,남산교회입구
102900044,03588,해방촌오거리
102900045,03586,신흥교회앞
102900046,03584,큰빛의집앞
102900047,03583,디지텍고등학교앞
102900048,03582,후암동종점
102900049,03581,성도약국
102900050,03580,용산고
102900051,03577,후암동주민센터앞
102900053,03574,후암시장
102900054,03573,녹사평역.용산구청
102900055,03572,이태원역앞
102900056,03571,동자경로당
102900057,03569,보광초등학교후문앞
102900058,03567,삼각지역
102900059,03566,이슬람사원
102900060,03700,만리시장입구
102900061,03699,배문중고교
102900062,03688,청파초등학교
102900063,03529,후암동종점
102900064,03524,녹사평역
102900065,03501,한신아파트
102900066,03503,용암경로당입구
102900068,03568,갈월동
102900070,03508,효창공원후문
102900072,03543,중앙하이츠빌라
102900073,03550,용문동주민센터
102900075,03526,몬드리안서울이태원
102900076,03530,크라운호텔
102900077,03533,외빈차고
102900078,03537,청화아파트
102900079,03505,가야랑앞
102900080,03512,성도약국
102900081,03579,대성교회
102900082,03585,가야랑앞
102900083,03504,한남오거리
102900084,03578,제일기획
102900085,03518,보광동주민센터
102900086,03742,한남동주민센터
102900087,03744,용산e편한세상
102900088,03743,용산CJ나인파크.오리온앞
102900089,03594,갑을빌딩
102900090,03709,청암자이아파트
102900091,03595,리버힐삼성아파트후문
102900092,03737,도원삼성래미안아파트단지내
102900094,03754,필리핀대사관
102900095,03753,필리핀대사관
102900096,03520,도원삼성래미안아파트101동앞
102900097,03511,도원삼성래미안아파트101동앞
103000001,04001,답십리역사거리
103000002,04002,청년회의소.서울새활용플라자
